Codigo Producto;Nombre Producto;nit proveedor;Precio Compra;Iva Compra;Precio Venta;Cantidad
1000;Filete Apanado al ajillo con Quinua Vegetalia 400g x5;9000726532;14286;2714;17000;40
1001;Hamburguesa Artesanal de Vegetales Sabyi 350g x5;9012176555;10084;1916;12000;63
1002;Hamburguesa de Quinua y Champiñon Kumara 420g x4;9005940343;12605;2395;15000;81
1003;Carne Para Asar Veganos 350g x4;9012943645;10084;1916;12000;491
1004;Carne Molida Vegana La Senda 250g;8305138388;6723;1277;8000;181
1005;Albóndigas Veganas con Quinua San Tomas Jr 450g x12;8305567245;8403;1597;10000;111
1006;Desmechado de gluten La Veganistería;9014628353;10000;1900;11900;299
1007;Lechona Vegana El Manjar 350g;9010621342;10084;1916;12000;111
1008;Salchicha Vegana Frankfurt Sabyi 300g x6;9012176555;10000;1900;11900;428
1009;Jamón a base de vegetales Sabyi;9012176555;9160;1740;10900;334
1010;Mortadela de vegetales Sabyi;9012176555;8824;1676;10500;105
1011;Salami italiano rebanado Sabyi;9012176555;10840;2060;12900;44
1012;Salchichón de vegetales Alves 500 gramos;8001458358;13025;2475;15500;170
1013;Tamal de Pipián Vegano El Manjar 170g;9010621342;4202;798;5000;269
1014;Tocineta de vegetales Sabyi;9012176555;9160;1740;10900;253
1015;Tamal de Pipián sin Gluten El Manjar 170g;9010621342;4202;798;5000;496
1016;Empanadas Criollas El Manjar 320g x15;9010621342;9244;1756;11000;180
1017;Empanada de Orellana Verdi 240g x6;9006411880;6723;1277;8000;250
1018;Nuggets de Tofu Apanados Sabor Pomodoro Om Shanti Om 250g;9013630203;13445;2555;16000;455
1019;Tofu Ahumado Om Shanti Om 250gr;9013630203;9244;1756;11000;418
1020;Tofu con Verduras Apetei 250gr;9011807497;7563;1437;9000;298
1021;Tofu Semi-Duro Om Shanti Om 500g;9013630203;10924;2076;13000;72
1022;Tofu Mediterráneo Om Shanti Om 250gr;9013630203;9244;1756;11000;63
1023;Bebida de Almendra Silk Original sin Azúcar 946ml;9014891686;10504;1996;12500;118
1024;Bebida de Coco sin Azúcar Silk 946ml;9014891686;10504;1996;12500;15
1025;Mozzarella vegana rallada Follow Your Heart;9015834825;21849;4151;26000;421
1026;Queso con almendras en bloque 250gr LoVeg;;11765;2235;14000;491
1027;Mayonesa vegana original Kundalí;9007944978;8403;1597;10000;5
1028;Mayonesa vegana con ajo Kundalí;9007944978;8403;1597;10000;268
1029;Aceite de coco 100% Lok Foods 225ml;9007363618;23529;4471;28000;157
1030;Proteína texturizada de soya cubos Kibo;9009135828;4118;782;4900;201
1031;Arroz integral con quinua Karavansay;9005963145;5882;1118;7000;338
1032;Semillas de chía negra enteras Natural Foods;9009346819;5798;1102;6900;41
